[ 8.56361, 9.30712 ]
[ 8.25248, 9.56723 ]
[ 7.94562, 9.8345 ]
[ 7.64332, 10.1091 ]
[ 7.34583, 10.3912 ]
[ 7.05344, 10.6809 ]
[ 6.7664, 10.9785 ]
[ 6.485, 11.284 ]
[ 6.20949, 11.5977 ]
[ 5.94016, 11.9197 ]
[ 5.67726, 12.2503 ]
[ 5.42108, 12.5895 ]
[ 5.17187, 12.9375 ]
[ 4.92992, 13.2945 ]
[ 4.69548, 13.6607 ]
[ 4.46884, 14.0363 ]
[ 4.25025, 14.4213 ]
[ 4.04, 14.816 ]
[ 3.83834, 15.2205 ]
[ 3.64556, 15.6351 ]
[ 3.46191, 16.0598 ]
[ 3.28768, 16.4949 ]
[ 3.12312, 16.9405 ]
[ 2.96852, 17.3968 ]
[ 2.82413, 17.8639 ]
[ 2.69024, 18.342 ]
[ 2.5671, 18.8313 ]
[ 2.455, 19.332 ]
[ 2.35419, 19.8442 ]
[ 2.26496, 20.3681 ]
[ 2.18756, 20.9038 ]
[ 2.12228, 21.4516 ]
[ 2.06937, 22.0115 ]
[ 2.02912, 22.5838 ]
[ 2.00178, 23.1686 ]
[ 1.98764, 23.7662 ]
[ 1.98696, 24.3766 ]
[ 2, 25 ]
[ 2, 45 ]
[ 2.02205, 45.2966 ]
[ 2.058, 45.5865 ]
[ 2.10756, 45.8701 ]
[ 2.17043, 46.1478 ]
[ 2.24631, 46.42 ]
[ 2.33491, 46.687 ]
[ 2.43592, 46.9491 ]
[ 2.54906, 47.2067 ]
[ 2.67401, 47.4602 ]
[ 2.8105, 47.71 ]
[ 2.95822, 47.9564 ]
[ 3.11686, 48.1997 ]
[ 3.28615, 48.4403 ]
[ 3.46577, 48.6786 ]
[ 3.65544, 48.915 ]
[ 3.85485, 49.1498 ]
[ 4.06371, 49.3833 ]
[ 4.28172, 49.6159 ]
[ 4.50858, 49.848 ]
[ 4.744, 50.08 ]
[ 4.98768, 50.3122 ]
[ 5.23932, 50.5449 ]
[ 5.49863, 50.7785 ]
[ 5.76531, 51.0134 ]
[ 6.03906, 51.25 ]
[ 6.31959, 51.4886 ]
[ 6.60659, 51.7295 ]
[ 6.89978, 51.9731 ]
[ 7.19884, 52.2198 ]
[ 7.5035, 52.47 ]
[ 7.81345, 52.724 ]
[ 8.12838, 52.9821 ]
[ 8.44802, 53.2447 ]
[ 8.77205, 53.5122 ]
[ 9.10019, 53.785 ]
[ 9.43213, 54.0634 ]
[ 9.76758, 54.3477 ]
[ 10.1062, 54.6383 ]
[ 10.4478, 54.9356 ]
[ 10.792, 55.24 ]
[ 11.1385, 55.5518 ]
[ 11.487, 55.8713 ]
[ 11.8373, 56.1989 ]
[ 12.189, 56.535 ]
[ 12.5418, 56.88 ]
[ 12.8955, 57.2342 ]
[ 13.2497, 57.5979 ]
[ 13.6041, 57.9715 ]
[ 13.9585, 58.3554 ]
[ 14.3125, 58.75 ]
[ 14.6659, 59.1556 ]
[ 15.0183, 59.5725 ]
[ 15.3695, 60.0011 ]
[ 15.7191, 60.4418 ]
[ 16.0669, 60.895 ]
[ 16.4126, 61.361 ]
[ 16.7558, 61.8401 ]
[ 17.0964, 62.3327 ]
[ 17.4338, 62.8392 ]
[ 17.768, 63.36 ]
[ 18.0985, 63.8954 ]
[ 18.4252, 64.4457 ]
[ 18.7476, 65.0113 ]
[ 19.0655, 65.5926 ]
[ 19.3786, 66.19 ]
[ 19.6865, 66.8038 ]
[ 19.9891, 67.4343 ]
[ 20.286, 68.0819 ]
[ 20.5769, 68.747 ]
[ 20.8615, 69.43 ]
[ 21.1395, 70.1312 ]
[ 21.4106, 70.8509 ]
[ 21.6746, 71.5895 ]
[ 21.931, 72.3474 ]
[ 22.1797, 73.125 ]
[ 22.4203, 73.9226 ]
[ 22.6525, 74.7405 ]
[ 22.8761, 75.5791 ]
[ 23.0907, 76.4388 ]
[ 23.296, 77.32 ]
[ 23.4918, 78.223 ]
[ 23.6777, 79.1481 ]
[ 23.8534, 80.0957 ]
[ 24.0188, 81.0662 ]
[ 24.1733, 82.06 ]
[ 24.3168, 83.0774 ]
[ 24.449, 84.1187 ]
[ 24.5695, 85.1843 ]
[ 24.6781, 86.2746 ]
[ 24.7745, 87.39 ]
[ 24.8583, 88.5308 ]
[ 24.9293, 89.6973 ]
[ 24.9872, 90.8899 ]
[ 25.0317, 92.109 ]
[ 25.0624, 93.355 ]
[ 25.0792, 94.6282 ]
[ 25.0816, 95.9289 ]
[ 25.0694, 97.2575 ]
[ 25.0423, 98.6144 ]
[ 25, 100 ]
